title,keywords
Аналитик,"['qlick', 'sense', 'визуализация', 'обработка', 'преимущество']"
Backend-разработчик,"['программирование', 'отсутствие', 'случай', 'школа', 'курс']"
Младший продуктовый аналитик - исследователь (Product research),"['агентство', 'страхование', 'сфере', 'образование', 'работа']"
Системный аналитик,"['приоритет', 'база', 'код', 'принцип', 'умение']"
Golang Developer/Middle Go/Senior Go,"['middle', 'postgresql', 'опыт', 'плюс', 'fastapi']"
PHP-разработчик,"['helm', 'laravel', 'ldap', 'lvm', 'orchid']"
Senior Python Developer в FinTech-продукт,"['postgres', 'celery', 'drf', 'стек', 'redis']"
"Аналитик данных (Excel, Power BI, Python)","['группировка', 'массив', 'powerbi', 'формула', 'дашбордов']"
Backend Middle Developer / Python разработчик,"['разработка', 'pydantic', 'highlighttext', 'asyncio', 'backend']"
Инженер по тестированию (ручное тестирование),"['тестирование', 'swagger', 'обеспечение', 'цикл', 'postman']"
Python разработчик,"['чат', 'бэкенд', 'бот', 'разработчик', 'качество']"
Python-разработчик,"['core', 'фреймворками', 'highlighttext', 'библиотека', 'fastapi']"
Тестировщик веб-приложений,"['typescript', 'playwright', 'pytest', 'rest', 'api']"
Разработчик Python,"['highlighttext', 'понимание', 'асинхронность', 'архитектура', 'версия']"
Python-разработчик (Middle),"['aiohttp', 'принцип', 'работа', 'опыт', 'понимание']"
Data Scientist,"['learn', 'scikit', 'tensorflow', 'библиотеками', 'обучение']"
Intern Business Analyst / Стажер Бизнес аналитик,"['коммуникабельность', 'рынок', 'ответственность', 'мышление', 'знание']"
QA инженер (Auto + Manual),"['selenium', 'pytest', 'api', 'автоматизация', 'тестирование']"
Pricing analyst,"['scipy', 'обладание', 'plotly', 'matplotlib', 'numpy']"
DevOps Engineer,"['алертов', 'prometheus', 'grafana', 'zabbix', 'дашбордов']"
Инженер-тестировщик,"['знание', 'тестирование', 'android', 'os', 'теория']"
Разработчик ботов и приложений на Low-code/no-code решениях,"['выражение', 'формул', 'интеграция', 'мессенджер', 'логика']"
QA/Тестировщик (Офис),"['selenoid', 'внимание', 'мелочам', 'allure', 'jenkins']"
Frontend-разработчик,"['sanic', 'владение', 'bdd', 'tdd', 'техник']"
Python-разработчик,"['работа', 'aiohttp', 'celery', 'redis', 'fastapi']"
Руководитель проектов,"['управление', 'система', 'redmine', 'jira', 'контроль']"
Flutter-разработчик,"['технологиями', 'веб', 'javascript', 'работа', 'программирование']"
